researcher,title,authors,value of cited by,year
Kavé Salamatian,Traffic classification on the fly,"L Bernaille, R Teixeira, I Akodkenou, A Soule, K Salamatian",884,2006
Kavé Salamatian,Traffic matrix estimation: Existing techniques and new directions,"A Medina, N Taft, K Salamatian, S Bhattacharyya, C Diot",816,2002
Kavé Salamatian,Early application identification,"L Bernaille, R Teixeira, K Salamatian",605,2006
Kavé Salamatian,Combining filtering and statistical methods for anomaly detection,"A Soule, K Salamatian, N Taft",445,2005
Kavé Salamatian,"Traffic matrices: balancing measurements, inference and modeling","A Soule, A Lakhina, N Taft, K Papagiannaki, K Salamatian, A Nucci, ...",290,2005
Kavé Salamatian,Applying PCA for traffic anomaly detection: Problems and solutions,"D Brauckhoff, K Salamatian, M May",232,2009
Kavé Salamatian,Anomaly extraction in backbone networks using association rules,"D Brauckhoff, X Dimitropoulos, A Wagner, K Salamatian",213,2009
Kavé Salamatian,Cross-layer routing in wireless mesh networks,"L Iannone, R Khalili, K Salamatian, S Fdida",196,2004
Kavé Salamatian,Research challenges in QoS routing,"X Masip-Bruin, M Yannuzzi, J Domingo-Pascual, A Fonte, M Curado, ...",177,2006
Kavé Salamatian,Hidden Markov modeling for network communication channels,"K Salamatian, S Vaton",167,2001
Kavé Salamatian,An approach to model and predict the popularity of online contents with explanatory factors,"JG Lee, S Moon, K Salamatian",147,2010
Kavé Salamatian,A pragmatic definition of elephants in internet backbone traffic,"K Papagiannaki, N Taft, S Bhattacharyya, P Thiran, K Salamatian, C Diot",147,2002
Kavé Salamatian,Traffic analysis of peer-to-peer IPTV communities,"T Silverston, O Fourmaux, A Botta, A Dainotti, A Pescapé, G Ventre, ...",109,2009
Kavé Salamatian,Traffic matrix tracking using kalman filters,"A Soule, K Salamatian, A Nucci, N Taft",100,2005
Kavé Salamatian,Flow classification by histograms: or how to go on safari in the internet,"A Soule, K Salamatia, N Taft, R Emilion, K Papagiannaki",89,2004
Kavé Salamatian,A new analytic approach to evaluation of packet error rate in wireless networks,"R Khalili, K Salamatian",86,2005
Kavé Salamatian,Modeling and predicting the popularity of online contents with Cox proportional hazard regression model,"JG Lee, S Moon, K Salamatian",82,2012
Kavé Salamatian,Securing internet coordinate embedding systems,"MA Kaafar, L Mathy, C Barakat, K Salamatian, T Turletti, W Dabbous",82,2007
Kavé Salamatian,Meta-algorithms for software-based packet classification,"P He, G Xie, K Salamatian, L Mathy",72,2014
Kavé Salamatian,About priority encoding transmission,"S Boucheron, MR Salamatian",69,2000
Kavé Salamatian,Adaptive path isolation for elephant and mice flows by exploiting path diversity in datacenters,"W Wang, Y Sun, K Salamatian, Z Li",68,2016
Kavé Salamatian,Digital social networks and their potential for impact on health and health systems: a scoping review and case studies,"F Griffiths, T Doberman, JAK Cave, M Thorogood, S Johnson, ...",63,2015
Kavé Salamatian,Transparent flow migration for NFV,"Y Wang, G Xie, Z Li, P He, K Salamatian",55,2016
Kavé Salamatian,Partial order theory for fast TCAM updates,"P He, W Zhang, H Guan, K Salamatian, G Xie",52,2017
Kavé Salamatian,Scalable high-performance parallel design for network intrusion detection systems on many-core processors,"H Jiang, G Zhang, G Xie, K Salamatian, L Mathy",52,2013
Kavé Salamatian,User behavior characterization of a large-scale mobile live streaming system,"Z Li, G Xie, MA Kaafar, K Salamatian",49,2015
Kavé Salamatian,Faving reciprocity in content sharing communities: A comparative analysis of Flickr and Twitter,"JG Lee, P Antoniadis, K Salamatian",49,2010
Kavé Salamatian,On the feasibility of identifying elephants in Internet backbone traffic,"K Papagiannaki, N Taft, S Bhattacharya, P Thiran, K Salamatian, C Diot",49,2001
Kavé Salamatian,PEARL: a programmable virtual router platform,"G Xie, P He, H Guan, Z Li, Y Xie, L Luo, J Zhang, Y Wang, K Salamatian",45,2011
Kavé Salamatian,A signal processing view on packet sampling and anomaly detection,"D Brauckhoff, K Salamatian, M May",44,2010
Kavé Salamatian,BFR: a bloom filter-based routing approach for information-centric networks,"A Marandi, T Braun, K Salamatian, N Thomos",43,2017
Kavé Salamatian,On the geographic patterns of a large-scale mobile video-on-demand system,"Z Li, G Xie, J Lin, Y Jin, MA Kaafar, K Salamatian",42,2014
Kavé Salamatian,Describing and simulating internet routes,"J Leguay, M Latapy, T Friedman, K Salamatian",39,2007
Kavé Salamatian,Video delivery performance of a large-scale VoD system and the implications on content delivery,"Z Li, Q Wu, K Salamatian, G Xie",34,2015
Kavé Salamatian,Flexible grid-based clustering,"MI Akodjènou-Jeannin, K Salamatian, P Gallinari",33,2007
Kavé Salamatian,Globs in the primordial soup: the emergence of connected crowds in mobile wireless networks,"S Heimlicher, K Salamatian",32,2010
Kavé Salamatian,Characterizing and modeling user behavior in a large-scale mobile live streaming system,"Z Li, MA Kaafar, K Salamatian, G Xie",31,2016
Kavé Salamatian,The geopolitics behind the routes data travel: a case study of Iran,"L Salamatian, F Douzet, K Salamatian, K Limonier",30,2021
Kavé Salamatian,Measuring the fragmentation of the Internet: the case of the Border Gateway Protocol (BGP) during the Ukrainian crisis,"F Douzet, L Pétiniaud, L Salamatian, K Limonier, K Salamatian, T Alchus",30,2020
Kavé Salamatian,Scalable TCAM-based regular expression matching with compressed finite automata,"K Huang, L Ding, G Xie, D Zhang, AX Liu, K Salamatian",29,2013
Kavé Salamatian,A multi-partitioning approach to building fast and accurate counting bloom filters,"K Huang, J Zhang, D Zhang, G Xie, K Salamatian, AX Liuˆ, W Li",28,2013
Kavé Salamatian,Mapping the routes of the Internet for geopolitics: The case of Eastern Ukraine,"K Limonier, F Douzet, L Pétiniaud, L Salamatian, K Salamatian",27,2021
Kavé Salamatian,A genealogy of information spreading on microblogs: A Galton-Watson-based explicative model,"D Wang, H Park, G Xie, S Moon, MA Kaafar, K Salamatian",27,2013
Kavé Salamatian,A hybrid IP lookup architecture with fast updates,"L Luo, G Xie, Y Xie, L Mathy, K Salamatian",27,2012
Kavé Salamatian,Protein structural robustness to mutations: an in silico investigation,"M Achoch, R Dorantes-Gilardi, C Wymant, G Feverati, K Salamatian, ...",26,2016
Kavé Salamatian,A hybrid hardware architecture for high-speed IP lookups and fast route updates,"L Luo, G Xie, Y Xie, L Mathy, K Salamatian",26,2013
Kavé Salamatian,The case for P2P mobile video system over wireless broadband networks: A practical study of challenges for a mobile video provider,"Y Sun, Y Guo, Z Li, J Lin, G Xie, X Zhang, K Salamatian",26,2013
Kavé Salamatian,Social connections in user-generated content video systems: Analysis and recommendation,"Z Li, J Lin, K Salamatian, G Xie",25,2012
Kavé Salamatian,Evaluation of packet error rate in wireless networks,"R Khalili, K Salamatian",25,2004
Kavé Salamatian,A trie merging approach with incremental updates for virtual routers,"L Luo, G Xie, K Salamatian, S Uhlig, L Mathy, Y Xie",24,2013
Kavé Salamatian,Mobile video popularity distributions and the potential of peer-assisted video delivery,"J Lin, Z Li, G Xie, Y Sun, K Salamatian, W Wang",23,2013
Kavé Salamatian,Towards TCAM-based scalable virtual routers,"L Luo, G Xie, S Uhlig, L Mathy, K Salamatian, Y Xie",23,2012
Kavé Salamatian,Multi-hop broadcast from theory to reality: practical design for ad hoc networks,"A El Fawal, JY Le Boudec, K Salamatian",23,2007
Kavé Salamatian,Performance analysis of self limiting epidemic forwarding,"A El Fawal, JY Le Boudec, K Salamatian",23,2006
Kavé Salamatian,On the capacity of erasure relay channel: Multi-relay case,"R Khalili, K Salamatian",23,2005
Kavé Salamatian,Pull-based bloom filter-based routing for information-centric networks,"A Marandi, T Braun, K Salamatian, N Thomos",22,2019
Kavé Salamatian,On fairness and locality in p2p-tv through large-scale measurement experiment,"T Silverston, O Fourmaux, K Salamatian, K Cho",21,2010
Kavé Salamatian,A Two-step Statistical Approach for Inferring Network Traffic Demands (Revises Technical Report BUCS-2003-003),"A Medina, K Salamatian, N Taft, I Matta, C Diot",20,2004
Kavé Salamatian,Measurement based modeling of quality of service in the Internet: a methodological approach,"K Salamatian, S Fdida",20,2001
Kavé Salamatian,Practical Bloom filter based epidemic forwarding and congestion control in DTNs: A comparative analysis,"A Marandi, MF Imani, K Salamatian",18,2014
Kavé Salamatian,Large-scale measurement experiments of P2P-TV systems insights on fairness and locality,"T Silverston, L Jakab, A Cabellos-Aparicio, O Fourmaux, K Salamatian, ...",18,2011
Kavé Salamatian,Self-limiting epidemic forwarding,"A El Fawal, JY Le Boudec, K Salamatian",18,2006
