researcher,title,authors,value of cited by,year
Patrick Lambert,3-D deep learning approach for remote sensing image classification,"AB Hamida, A Benoit, P Lambert, CB Amar",702,2018
Patrick Lambert,"Color edge detector using jointly hue, saturation and intensity","T Carron, P Lambert",265,1994
Patrick Lambert,Fuzzy fusion techniques for linear features detection in multitemporal SAR images,"J Chanussot, G Mauris, P Lambert",235,1999
Patrick Lambert,Dynamic hand gesture recognition using the skeleton of the hand,"B Ionescu, D Coquin, P Lambert, V Buzuloiu",137,2005
Patrick Lambert,Total ordering based on space filling curves for multivalued morphology,"J Chanussot, P Lambert",117,1998
Patrick Lambert,Video summarization from spatio-temporal features,"R Laganière, R Bacco, A Hocevar, P Lambert, G Païs, BE Ionescu",78,2008
Patrick Lambert,Symbolic fusion of luminance-hue-chroma features for region segmentation,"P Lambert, T Carron",72,1999
Patrick Lambert,Extending mathematical morphology to color image processing,"P Lambert, J Chanussot",58,2000
Patrick Lambert,Filtering and segmentation: The specifity of color images,P Lambert,53,2000
Patrick Lambert,Bit mixing paradigm for multivalued morphological filters,"J Chanussot, P Lambert",47,1997
Patrick Lambert,An application of mathematical morphology to road network extraction on SAR images,"J Chanussot, P Lambert",38,1998
Patrick Lambert,PDE-based enhancement of color images in RGB space,"S Bettahar, AB Stambouli, P Lambert, A Benoit",35,2011
Patrick Lambert,Hierarchical late fusion for concept detection in videos,"ST Strat, A Benoit, P Lambert, H Bredin, G Quénot",32,2014
Patrick Lambert,Improved cut detection for the segmentation of animation movies,"B Ionescu, V Buzuloiu, P Lambert, D Coquin",32,2006
Patrick Lambert,Irim at TRECVID 2014: Semantic indexing and instance search,"N Ballas, B Labbé, H Le Borgne, P Gosselin, D Picard, M Redi, ...",30,2014
Patrick Lambert,Symbolic fusion of hue-chroma-intensity features for region segmentation,"T Carron, P Lambert",30,1996
Patrick Lambert,Using eigenvectors of a vector field for deriving a second directional derivative operator for color images,"W Alshatti, P Lambert",30,1993
Patrick Lambert,Deep learning for semantic segmentation of remote sensing images with rich spectral content,"AB Hamida, A Benoit, P Lambert, L Klein, CB Amar, N Audebert, ...",29,2017
Patrick Lambert,A fuzzy color-based approach for understanding animated movies content in the indexing task,"B Ionescu, D Coquin, P Lambert, V Buzuloiu",29,2008
Patrick Lambert,Timed-image based deep learning for action recognition in video sequences,"AM Atto, A Benoit, P Lambert",26,2020
Patrick Lambert,Fuzzy color edge extraction by inference rules quantitative study and evaluation of performances,"T Carron, P Lambert",26,1995
Patrick Lambert,Multiscale fully convolutional densenet for semantic segmentation,"S Brahimi, N Ben Aoun, C Ben Amar, A Benoit, P Lambert",21,2018
Patrick Lambert,Semantic segmentation using reinforced fully convolutional densenet with multiscale kernel,"S Brahimi, N Ben Aoun, A Benoit, P Lambert, C Ben Amar",20,2019
Patrick Lambert,Indexed operations for non-rectangular lattices applied to convolutional neural networks,"M Jacquemont, L Antiga, T Vuillaume, G Silvestri, A Benoit, P Lambert, ...",20,2019
Patrick Lambert,Deep Learning for automatic sale receipt understanding,"R Raoui-Outach, C Million-Rousseau, A Benoit, P Lambert",20,2017
Patrick Lambert,Content-based video description for automatic video genre categorization,"B Ionescu, K Seyerlehner, C Rasche, C Vertan, P Lambert",20,2012
Patrick Lambert,Rushes summarization by IRIM consortium: redundancy removal and multi-feature fusion,"G Quenot, J Benois-Pineau, B Mansencal, E Rossi, M Cord, F Precioso, ...",19,2008
Patrick Lambert,A quick and coarse color image segmentation,"P Lambert, H Grecu",19,2003
Patrick Lambert,Watershed approaches for color image segmentation.,"J Chanussot, P Lambert",19,1999
Patrick Lambert,First full-event reconstruction from imaging atmospheric cherenkov telescope real data with deep learning,"M Jacquemont, T Vuillaume, A Benoit, G Maurin, P Lambert, G Lamanna",18,2021
Patrick Lambert,GammaLearn: a Deep Learning framework for IACT data,"M Jacquemont, T Vuillaume, A Benoit, G Maurin, P Lambert, G Lamanna, ...",18,2019
Patrick Lambert,An audio-visual approach to web video categorization,"BE Ionescu, K Seyerlehner, I Mironică, C Vertan, P Lambert",18,2014
Patrick Lambert,Études méthodologiques du filtrage et de la segmentation d'images multi-composantes,P Lambert,18,2002
Patrick Lambert,Comparison of prefiltering operators for road network extraction in SAR images,"P Bolon, J Chanussot, I Issa, P Lambert",18,1999
Patrick Lambert,Deep learning approach for remote sensing image analysis,"AB Hamida, A Benoit, P Lambert, C Ben-Amar",17,2016
Patrick Lambert,Retina enhanced SIFT descriptors for video indexing,"ST Strat, A Benoit, P Lambert",17,2013
Patrick Lambert,Animation movie abstraction: Key frame adaptative selection based on color histogram filtering,"L Ott, P Lambert, B Ionescu, D Coquin",16,2007
Patrick Lambert,Irim at trecvid 2011: Semantic indexing and instance search,"B Delezoide, F Precioso, PH Gosselin, M Redi, B Merialdo, L Granjon, ...",15,2011
Patrick Lambert,IRIM at TRECVID 2010: semantic indexing and instance search,"D Gorisse, F Precioso, PH Gosselin, L Granjon, D Pellerin, M Rombaut, ...",15,2010
Patrick Lambert,Animation movies trailer computation,"B Ionescu, P Lambert, D Coquin, L Ott, V Buzuloiu",15,2006
Patrick Lambert,Retina enhanced SURF descriptors for spatio-temporal concept detection,"ST Strat, A Benoit, P Lambert, A Caplier",14,2014
Patrick Lambert,Color-based semantic characterization of cartoons,"B Ionescu, P Lambert, D Coquin, L Darlea",14,2005
Patrick Lambert,A color-action perceptual approach to the classification of animated movies,"B Ionescu, C Vertan, P Lambert, A Benoit",13,2011
Patrick Lambert,Image retrieval using spatial chromatic histograms,"P Lambert, N Hervey, H Grecu",13,2004
Patrick Lambert,An in-depth evaluation of multimodal video genre categorization,"I Mironică, B Ionescu, P Knees, P Lambert",12,2013
Patrick Lambert,Animated movie genre detection using symbolic fusion of text and image descriptors,"G Païs, P Lambert, D Beauchêne, F Deloule, B Ionescu",12,2012
Patrick Lambert,IRIM at TRECVID 2010: High level feature extraction and instance search,"D Gorisse, F Precioso, P Gosselin, L Granjon, D Pellerin, M Rombaut, ...",12,2010
Patrick Lambert,Analysis of the Cherenkov Telescope Array first Large-Sized Telescope real data using convolutional neural networks,"T Vuillaume, M Jacquemont, MB de Lavergne, DA Sanchez, V Poireau, ...",11,2021
Patrick Lambert,A contour-color-action approach to automatic classification of several common video genres,"BE Ionescu, C Rasche, C Vertan, P Lambert",11,2011
Patrick Lambert,A simple but effective approach to video copy detection,"G Roth, R Laganière, P Lambert, I Lakhmiri, T Janati",11,2010
Patrick Lambert,Color-Based Content Retrieval of Animation Movies: A Study.,"B Ionescu, P Lambert, D Coquin, V Buzuloiu",11,2007
Patrick Lambert,Real time vector median like filter: FPGA design and application to color image filtering,"J Chanussot, M Paindavoine, P Lambert",10,1999
Patrick Lambert,Dissolve detection in abstract video contents,"B Ionescu, C Vertan, P Lambert",9,2011
Patrick Lambert,Fuzzy semantic action and color characterization of animation movies in the video indexing task context,"BE Ionescu, D Coquin, P Lambert, V Buzuloiu",9,2006
Patrick Lambert,Multi-task architecture with attention for imaging atmospheric cherenkov telescope data analysis,"M Jacquemont, T Vuillaume, A Benoit, G Maurin, P Lambert",8,2021
Patrick Lambert,Retina enhanced bag of words descriptors for video classification,"ST Strat, A Benoit, P Lambert",8,2014
Patrick Lambert,Video genre categorization and representation using audio-visual information,"B Ionescu, K Seyerlehner, C Rasche, C Vertan, P Lambert",8,2012
Patrick Lambert,PDE-based efficient method for colour image restoration,"S Bettahar, P Lambert, AB Stambouli",7,2017
Patrick Lambert,The cut detection issue in the animation movie domain.,"B Ionescu, P Lambert, D Coquin, V Buzuloiu",7,2007
Patrick Lambert,Data fusion for the management of multimedia documents,"F Deloule, P Lambert, D Beauchene, B Ionescu",7,2007
Patrick Lambert,Enhancement and registration of multichannel images based on vector order filter,"P Lambert, S Gaspard",7,2000
Patrick Lambert,Integration of linguistic knowledge for colour image segmentation,"T Carron, P Lambert",7,1996
Patrick Lambert,A vector rank filter application to multi-spectral image filtering,"W Alshatti, P Bolon, P Lambert",7,1995
Patrick Lambert,Single imaging atmospheric cherenkov telescope full-event reconstruction with a deep multi-task learning architecture,"M Jacquemont, T Vuillaume, A Benoît, G Maurin, P Lambert",6,2020
Patrick Lambert,Image retrieval by partial queries,"H Grecu, P Lambert",6,2001
Patrick Lambert,Indexation par descripteurs flous: Application à la recherche d’images,"H GRECU, P LAMBERT",6,2001
Patrick Lambert,Fuzzy techniques evaluate sausage quality,"G Mauris, N Perrot, P Lambert, JR Philippe",6,2000
Patrick Lambert,Prétraitements des images couleur,"P Lambert, P Montesinos",6,1999
Patrick Lambert,Image processing makeup using fuzzy performance indicators,"P Lambert, G Mauris, A Elbou",6,1998
Patrick Lambert,IRIM at TRECVID 2018: Instance search,"B Mansencal, J Benois-Pineau, H Bredin, G Quénot",5,2018
Patrick Lambert,Deep learning vs spectral clustering into an active clustering with pairwise constraints propagation,"N Voiron, A Benoit, P Lambert, B Ionescu",5,2016
Patrick Lambert,Anisotropic color image denoising and sharpening,"S Bettahar, P Lambert, AB Stambouli",5,2014
Patrick Lambert,Spatio-temporal block model for video indexation assistance,"A Simac-Lejeune, M Rombaut, P Lambert",5,2010
Patrick Lambert,Relevance of interest points for eye position prediction on videos,"A Simac-Lejeune, S Marat, D Pellerin, P Lambert, M Rombaut, N Guyader",5,2009
Patrick Lambert,Highlighting action content in animated movies,"B Ionescu, A Pacureanu, P Lambert, C Vertan",5,2009
