customAuthorName,title_s,docType_s,primaryDomain_s,openAccess_bool,publicationDate_s,submittedDate_s,instStructName_s,structCountry_s
Ilham Alloui,['Automatic Package Coupling and Cycle Minimization'],COMM,info.info-se,True,2009-10,2009-10-21 14:16:26,"['Université de Lille, Sciences et Technologies', 'Institut National de Recherche en Informatique et en Automatique', 'Université de Lille, Sciences Humaines et Sociales', 'Institut National de Recherche en Informatique et en Automatique', ""Département d'informatique et de recherche opérationnelle"", 'Université Savoie Mont Blanc']","['fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'ca', 'ca', 'fr', 'fr', 'fr']"
Ilham Alloui,"['E-alliance, rapport de 1ère année programme thématique région rhône alpes']",REPORT,info.info-mo,False,2001-04,2012-11-29 14:54:36,"['UR LSTI', 'Centre G2I', 'Université Savoie Mont Blanc']","['fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr']"
Ilham Alloui,['WIoT: Interconnection between Wise Objects and IoT'],COMM,info.info-se,True,2018-07-26,2021-06-30 20:50:01,"['Université Savoie Mont Blanc', 'Université Savoie Mont Blanc']","['fr', 'fr', 'fr']"
Ilham Alloui,['Tuning a Fuzzy Control System for Software Intensive Processes via Simulation'],COMM,info.info-se,False,1999-05,2016-05-26 14:06:56,"['Université Savoie Mont Blanc', 'Université de Rennes', 'Institut National des Sciences Appliquées - Rennes', 'Université de Bretagne Sud', 'École normale supérieure - Rennes', 'Institut National de Recherche en Informatique et en Automatique', 'Télécom Bretagne', 'CentraleSupélec']","['fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr']"
Ilham Alloui,['Supporting Decentralised Software-intensive Processes using Zeta Component-based Architecture Description Language'],COUV,info.info-cl,False,2002-03,2019-02-20 22:22:52,['Université Savoie Mont Blanc'],"['fr', 'fr']"
Ilham Alloui,['e-Alliance: a software infrastructure for concurrent inter-organisational alliances'],COMM,info.info-mo,False,2002,2012-11-28 13:57:32,"['Université Savoie Mont Blanc', 'UR LSTI', 'Centre G2I']","['fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr']"
Ilham Alloui,['The Package Blueprint: visually analyzing and quantifying package dependencies'],ART,info.info-pl,True,2014-03-10,2014-03-10 20:06:19,"['Université de Lille, Sciences et Technologies', 'Institut National de Recherche en Informatique et en Automatique', 'Université de Lille, Sciences Humaines et Sociales', 'Institut National de Recherche en Informatique et en Automatique', 'Université Savoie Mont Blanc', 'Université de Bordeaux', ""École Nationale Supérieure d'Électronique, Informatique et Radiocommunications de Bordeaux (ENSEIRB)""]","['fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr']"
Ilham Alloui,['Wise Objects for IoT (WIoT): Software Framework and Experimentation'],ART,info.info-ai,True,2019-08-13,2021-06-29 10:32:39,['Université Savoie Mont Blanc'],"['fr', 'fr']"
Ilham Alloui,['Software Agents for bringing cooperating software-intensive processes under quantitative control using fuzzy sets'],COMM,info.info-se,False,1999-05-12,2024-02-24 14:45:43,"['Université Savoie Mont Blanc', 'Université de Rennes', 'Institut National des Sciences Appliquées - Rennes', 'Université de Bretagne Sud', 'École normale supérieure - Rennes', 'Institut National de Recherche en Informatique et en Automatique', 'CentraleSupélec', 'IMT Atlantique', 'Université de Bretagne Sud', 'Université de Rennes', 'Institut National des Sciences Appliquées - Rennes', 'Université de Bretagne Sud', 'École normale supérieure - Rennes', 'Institut National de Recherche en Informatique et en Automatique', 'CentraleSupélec', 'IMT Atlantique']","['fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr']"
Ilham Alloui,['A Graph Matching Algorithm to Extend Software Wise Systems with Human Semantic'],ART,info.info-se,False,2023,2024-02-08 12:11:38,"['Université Savoie Mont Blanc', 'Université Savoie Mont Blanc']","['fr', 'fr', 'fr']"
Ilham Alloui,['A new software architecture for the Wise Object Framework: Multidimensional Separation of Concerns'],COMM,info,True,2022-07-11,2024-04-25 16:59:18,"['SaGa Corp, Paris, France', 'Université Savoie Mont Blanc']","['fr', 'fr', 'fr']"
Ilham Alloui,"['Alliance: A Software Framework for Software-Intensive Process Modeling, Enactment and Fuzzy Control']",ART,,False,2001,2009-10-29 11:28:24,['Université Savoie Mont Blanc'],"['fr', 'fr']"
Ilham Alloui,['Package Fingerprint: a visual summary of package interfaces and relationships'],ART,info.info-se,True,2010-12-31,2010-11-02 22:14:16,"['Université de Lille, Sciences et Technologies', 'Institut National de Recherche en Informatique et en Automatique', 'Université de Lille, Sciences Humaines et Sociales', 'Institut National de Recherche en Informatique et en Automatique']","['fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr']"
Ilham Alloui,['A Fuzzy Sets based Mechanism allowing the Tuning of a Software Intensive Process Control System via Multiple Simulations'],COMM,info.info-se,False,1999-05,2016-05-26 14:11:48,"['Université Savoie Mont Blanc', 'Université de Rennes', 'Institut National des Sciences Appliquées - Rennes', 'Université de Bretagne Sud', 'École normale supérieure - Rennes', 'Institut National de Recherche en Informatique et en Automatique', 'Télécom Bretagne', 'CentraleSupélec']","['fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr']"
Ilham Alloui,"[""Approche centrée architecture pour l'évolution dynamique de systèmes""]",ART,info.info-se,False,2009,2010-12-17 16:37:20,['Université Savoie Mont Blanc'],"['fr', 'fr']"
Ilham Alloui,"['Alliance : An Agent-Based CASE Environment for Enterprise Process Modelling, Enactment and Quantitative Control']",COMM,info,False,1999-03,2016-05-26 14:02:10,"['Université Savoie Mont Blanc', 'Université de Rennes', 'Institut National des Sciences Appliquées - Rennes', 'Université de Bretagne Sud', 'École normale supérieure - Rennes', 'Institut National de Recherche en Informatique et en Automatique', 'Télécom Bretagne', 'CentraleSupélec']","['fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr', 'fr']"
