researcher,title,authors,value of cited by,year
Mickael Bettinelli,A decision support framework for the remanufacturing of highly variable products using a collective intelligence approach,"M Bettinelli, M Occello, D Genthial, D Brissaud",10,2020
Mickael Bettinelli,Coalition formation problem: a group dynamics inspired swarming method,"M Bettinelli, M Occello, D Genthial",5,2020
Mickael Bettinelli,Cohesion as a Tool for Maintaining the Functional Integrity of a Multi-agent System.,"M Bettinelli, D Genthial, M Occello",2,2020
Mickael Bettinelli,Une approche d'intelligence collective pour la conception d'un system d'aide à la décision appliqué à l'économie circulaire,M Bettinelli,1,2021
Mickael Bettinelli,ABSG: un modèle d’agent socialement inspiré pour la formation de coalitions,"M Bettinelli, M Occello, D Genthial",1,2021
Mickael Bettinelli,Production of the future to support circular economy-development of a dedicated platform by means of a multidisciplinary approach,"A Basia, A Kurt, F Dubois, M Bettinelli, P Zheng, V Jourdain",1,2019
Mickael Bettinelli,Discovering Communities With Clustered Federated Learning,"M Bettinelli, A Benoit, K Grandjean",,2024
Mickael Bettinelli,A Path Towards Fair and Equitable AI Advancing Bias Mitigation in Federated Learning,"F Lynda, A Benoit, F Loukil, M Bettinelli, C Lin-Kwong-Chon",,2023
Mickael Bettinelli,Bias mitigation for collaborative and ethical learning on dynamic data,"L Ferraguig, A Benoit, F Loukil, M Bettinelli",,2023
Mickael Bettinelli,ABSG: une architecture d’agents d’inspiration sociale pour le problème de formation de coalitions,"M Bettinelli, M Occello, D Genthial",,2023
Mickael Bettinelli,ABSG: a Socially Inspired Coalition Formation Agent Model,"M Bettinelli, M Occello, D Genthial",,2021
Mickael Bettinelli,La cohésion comme outil pour le maintien de l'intégrité fonctionnelle d'un système multi-agents,"M Bettinelli, D Genthial, M Occello",,2019
